"Celebrity";"Time";"Car";"Conditions"
"Matt LeBlanc";102;"Kia Cee'd";"Normal"
"Michael Fassbender";102.8;"Kia Cee'd";"Normal"
"Rowan Atkinson";102.2;"Kia Cee'd";"Normal"
"John Bishop";102.8;"Kia Cee'd";"Normal"
"Ross Noble";103.5;"Kia Cee'd";"Normal"
"James McAvoy";103.6;"Kia Cee'd";"Normal"
"Ryan Reynolds";103.7;"Kia Cee'd";"Normal"
"Matt Smith";103.7;"Kia Cee'd";"Normal"
"Tom Cruise";104.2;"Kia Cee'd";"Normal"
"Amy MacDonald";104.4;"Kia Cee'd";"Normal"
"Nick Frost";104.5;"Kia Cee'd";"Normal"
"Cameron Diaz";105.2;"Kia Cee'd";"Normal"
"Simon Pegg";104.9;"Kia Cee'd";"Normal"
"Ahren Lockyer";105.6;"Kia Cee'd";"Normal"
"Alex James";105.2;"Kia Cee'd";"Normal"
"Sophie Raworth";107.8;"Kia Cee'd";"Normal"
"Boris Becker";105.9;"Kia Cee'd";"Wet"
"Danny Boyle";107.8;"Kia Cee'd";"Wet"
"Peter Jones";105.9;"Kia Cee'd";"Normal"
"Bill Turnbull";106.8;"Kia Cee'd";"Normal"
"Andy Garcia";106.1;"Kia Cee'd";"Normal"
"Alastair Campbell";107;"Kia Cee'd";"Normal"
"Louis Walsh";107.7;"Kia Cee'd";"Normal"
"Al Murray";108.1;"Kia Cee'd";"Normal"
"Bob Geldof";108.1;"Kia Cee'd";"Normal"
"Jonathan Ross";109;"Kia Cee'd";"Wet"
"Jeff Goldblum";109;"Kia Cee'd";"Normal"
"will.i.am";109.4;"Kia Cee'd";"Normal"
"Peta, 23 from Essex";109.9;"Kia Cee'd";"Normal"
"Slash";109.8;"Kia Cee'd";"Wet"
"Nick Robinson";109.9;"Kia Cee'd";"Normal"
"Bill Bailey";110.8;"Kia Cee'd";"Wet"
"Amy Williams";110.9;"Kia Cee'd";"Wet"
"Amber Heard";110.3;"Kia Cee'd";"Automatic"
"Johnny Vaughan";113.3;"Kia Cee'd";"Wet"
"Louie Spence";113.6;"Kia Cee'd";"Wet"
"Alice Cooper";116.3;"Kia Cee'd";"Wet,Automatic"
"John Prescott";116.7;"Kia Cee'd";"Wet,Automatic"
"Fiona Bruce";110.5;"Kia Cee'd";"Normal"
"Damian Lewis";129.1;"Kia Cee'd";"Snow"
"Dave Olliff";104.4;"Suzuki Liana";"Normal"
"Ellen MacArthur";106.7;"Suzuki Liana";"Normal"
"Jimmy Carr";106.9;"Suzuki Liana";"Normal"
"Simon Cowell";107;"Suzuki Liana";"Normal"
"Ronnie O'Sullivan";107.3;"Suzuki Liana";"Normal"
"Chris Evans";107.9;"Suzuki Liana";"Normal"
"Rory Bremner";107.9;"Suzuki Liana";"Normal"
"Justin Hawkins";108;"Suzuki Liana";"Normal"
"Trevor Eve";108;"Suzuki Liana";"Normal"
"Jay Kay";108.3;"Suzuki Liana";"Normal"
"Jodie Kidd";108;"Suzuki Liana";"Normal"
"Paul McKenna";108;"Suzuki Liana";"Normal"
"Patrick Kielty";108;"Suzuki Liana";"Normal"
"Rob Brydon";108.6;"Suzuki Liana";"Normal"
"Dr Stephen Ladyman";108.8;"Suzuki Liana";"Normal"
"Neil Morrissey";109;"Suzuki Liana";"Normal"
"Roger Daltrey";109.6;"Suzuki Liana";"Normal"
"Jeremy Clarkson";110;"Suzuki Liana";"Passenger"
"Jamie Oliver";110;"Suzuki Liana";"Normal"
"Gordon Ramsay";110;"Suzuki Liana";"Normal"
"Patrick Stewart";110;"Suzuki Liana";"Normal"
"Lionel Richie";110;"Suzuki Liana";"Normal"
"Martin Clunes";110;"Suzuki Liana";"Normal"
"Sir Cliff Richard";110;"Suzuki Liana";"Normal"
"David Walliams";110.7;"Suzuki Liana";"Normal"
"Sir Ranulph Fiennes";111;"Suzuki Liana";"Normal"
"Sanjeev Bhaskar";111.5;"Suzuki Liana";"Wet"
"Timothy Spall";111.1;"Suzuki Liana";"Normal"
"Carol Voderman";111.2;"Suzuki Liana";"Normal"
"James Nesbitt";111.3;"Suzuki Liana";"Normal"
"Christian Slater";111.4;"Suzuki Liana";"Normal"
"Omid Djalili";111.5;"Suzuki Liana";"Normal"
"Joanna Lumley";111.5;"Suzuki Liana";"Normal"
"David Dimbleby";112;"Suzuki Liana";"Normal"
"Eddie Izzard";112;"Suzuki Liana";"Normal"
"Rick Parfitt";112;"Suzuki Liana";"Normal"
"Christopher Eccleston";112.4;"Suzuki Liana";"Automatic"
"Sir Tim Rice";112.7;"Suzuki Liana";"Normal"
"Steve Coogan";113;"Suzuki Liana";"Wet"
"Vinnie Jones";113;"Suzuki Liana";"Normal"
"Fay Ripley";113;"Suzuki Liana";"Normal"
"Bill Bailey";113.4;"Suzuki Liana";"Wet"
"Jack Dee";113.5;"Suzuki Liana";"Normal"
"Alan Davies";114;"Suzuki Liana";"Normal"
"Stephen Fry";114;"Suzuki Liana";"Normal"
"Rich Hall";114;"Suzuki Liana";"Normal"
"Martin Kemp";114;"Suzuki Liana";"Wet"
"Ross Kemp";114;"Suzuki Liana";"Wet"
"Tara Palmer-Tomkinson";114;"Suzuki Liana";"Wet"
"David Soul";114;"Suzuki Liana";"Normal"
"Trinny Woodall";114.1;"Suzuki Liana";"Wet,Passenger"
"Michael Gambon";115;"Suzuki Liana";"Wet"
"Geri Halliwell";115;"Suzuki Liana";"Normal"
"Susannah Constantine";115.7;"Suzuki Liana";"Wet,Passenger"
"Boris Johnson";116;"Suzuki Liana";"Normal"
"Davina McCall";117.1;"Suzuki Liana";"Wet"
"Anne Robinson";117;"Suzuki Liana";"Normal"
"Jonathan Ross";117;"Suzuki Liana";"Wet,Penalize cutting corner"
"Johnny Vegas";118.6;"Suzuki Liana";"Normal"
"Harry Enfield";120.1;"Suzuki Liana";"Normal"
"Billy Baxter";120.2;"Suzuki Liana";"Blind"
"Terry Wogan";120.4;"Suzuki Liana";"Normal"
"Richard Whiteley";120.6;"Suzuki Liana";"Normal"
"Jay Kay";105.81;"Chevrolet Lacetti";"Normal"
"Gee Atherton";105.83;"Chevrolet Lacetti";"Normal"
"Brian Johnson";105.85;"Chevrolet Lacetti";"Normal"
"Kevin McCloud";105.87;"Chevrolet Lacetti";"Normal"
"Simon Cowell";105.9;"Chevrolet Lacetti";"Normal"
"Jennifer Saunders";106.1;"Chevrolet Lacetti";"Normal"
"Michael Sheen";106.3;"Chevrolet Lacetti";"Normal"
"Gordon Ramsay";106.4;"Chevrolet Lacetti";"Normal"
"Peter Jones";106.9;"Chevrolet Lacetti";"Normal"
"Trevor Eve";107.1;"Chevrolet Lacetti";"Normal"
"Peter Firth";107.1;"Chevrolet Lacetti";"Normal"
"Lawrence Dallaglio";107.4;"Chevrolet Lacetti";"Normal"
"Les Ferdinand";107.4;"Chevrolet Lacetti";"Normal"
"Jamie Oliver";107.7;"Chevrolet Lacetti";"Melted snow"
"Hugh Grant";107.7;"Chevrolet Lacetti";"Normal"
"James Hewitt";107.6;"Chevrolet Lacetti";"Normal"
"Ewan McGregor";108;"Chevrolet Lacetti";"Normal"
"Chris Evans";108.1;"Chevrolet Lacetti";"Normal"
"Billie Piper";108.3;"Chevrolet Lacetti";"Normal"
"James Blunt";108.3;"Chevrolet Lacetti";"Wet"
"Justin Hawkins";108.4;"Chevrolet Lacetti";"Normal"
"Simon Pegg";108.5;"Chevrolet Lacetti";"Normal"
"Theo Paphitis";108.5;"Chevrolet Lacetti";"Normal"
"Michael McIntyre";108.7;"Chevrolet Lacetti";"Normal"
"David Tennant";108.8;"Chevrolet Lacetti";"Normal"
"Jay Leno";108.8;"Chevrolet Lacetti";"Normal"
"Will Young";108.9;"Chevrolet Lacetti";"Normal"
"Sir Michael Parkinson";109.4;"Chevrolet Lacetti";"Normal"
"Ronnie Wood";109.6;"Chevrolet Lacetti";"Normal"
"Harry Enfield";109.7;"Chevrolet Lacetti";"Normal"
"Sienna Miller";109.8;"Chevrolet Lacetti";"Normal"
"Jools Holland";109.9;"Chevrolet Lacetti";"Normal"
"Sir Michael Gambon";110.3;"Chevrolet Lacetti";"Normal"
"Alan Davies";110.3;"Chevrolet Lacetti";"Normal"
"Steve Coogan";110.9;"Chevrolet Lacetti";"Normal"
"Stephen Fry";111;"Chevrolet Lacetti";"Normal"
"Alan Carr";111.2;"Chevrolet Lacetti";"Normal"
"Ray Winstone";111.4;"Chevrolet Lacetti";"Normal"
"Keith Allen";111.7;"Chevrolet Lacetti";"Wet"
"Rob Brydon";111.7;"Chevrolet Lacetti";"Wet"
"Justin Lee Collins";111.8;"Chevrolet Lacetti";"Normal"
"Seasick Steve";111.8;"Chevrolet Lacetti";"Normal"
"Tom Jones";112.2;"Chevrolet Lacetti";"Normal"
"Guy Ritchie";112.5;"Chevrolet Lacetti";"Wet"
"Dame Helen Mirren";112.8;"Chevrolet Lacetti";"Normal"
"James Corden";113.4;"Chevrolet Lacetti";"Wet"
"Kristin Scott Thomas";114;"Chevrolet Lacetti";"Normal"
"Philip Glenister";114.3;"Chevrolet Lacetti";"Wet"
"Kate Silverton";114.7;"Chevrolet Lacetti";"Wet"
"Rick Wakeman";115.3;"Chevrolet Lacetti";"Normal"
"Boris Johnson";117.4;"Chevrolet Lacetti";"Wet"
"Fiona Bruce";117.4;"Chevrolet Lacetti";"Wet"
"Brian Cox";120.1;"Chevrolet Lacetti";"Normal"
"Jimmy Carr";120.9;"Chevrolet Lacetti";"Spun off"
"Olly Murs";104.6;"Vauxhall Astra";"Normal"
"Aaron Paul";104.7;"Vauxhall Astra";"Normal"
"Brian Johnson";105.1;"Vauxhall Astra";"Normal"
"Susan Boyle";105.3;"Vauxhall Astra";"Normal"
"Jimmy Carr";105.6;"Vauxhall Astra";"Normal"
"Hugh Jackman";106.1;"Vauxhall Astra";"Normal"
"David Haye";106.7;"Vauxhall Astra";"Normal"
"Margot Robbie";107.1;"Vauxhall Astra";"Normal"
"Will Smith";107.2;"Vauxhall Astra";"Normal"
"Benedict Cumberbatch";107.8;"Vauxhall Astra";"Normal"
"Rachel Riley";108.5;"Vauxhall Astra";"Normal"
"Charles Dance";108.8;"Vauxhall Astra";"Normal"
"Joss Stone";108.9;"Vauxhall Astra";"Normal"
"James Blunt";109.4;"Vauxhall Astra";"Wet"
"Tom Hiddleston";109.9;"Vauxhall Astra";"Wet"
"Ron Howard";109.9;"Vauxhall Astra";"Normal"
"Hugh Bonneville";110.1;"Vauxhall Astra";"Wet"
"Steven Tyler";111;"Vauxhall Astra";"Normal"
"Mike Rutherford";111.5;"Vauxhall Astra";"Normal"
"Ed Sheeran";114.3;"Vauxhall Astra";"Wet,Automatic"
"Jack Whitehall";114.5;"Vauxhall Astra";"Automatic"
